9836,6209,4,19
5571,8907,1,14
5536,2919,3,9
9950,7816,3,3
4303,7391,1,1
4195,2751,5,11
1681,5087,1,20
4654,4939,4,12
2482,7352,1,3
4029,4316,2,8
9983,8230,1,10
2734,9066,4,1
7308,2644,2,14
4738,8372,1,12
8755,5740,3,3
6700,2391,3,6
2857,3234,2,10
3758,3012,5,12
6995,6636,5,12
5023,8349,5,20
9512,7956,1,15
6684,4019,4,4
1913,2395,4,15
7197,6369,3,1
382,3793,3,7
3565,5138,2,2
5175,5617,2,7
6241,6971,1,1
2752,6489,4,12
8140,3127,3,5
8003,7701,4,19
3570,8585,1,16
7534,9726,3,6
692,417,5,3
4962,2216,3,18
9428,837,5,12
7833,5919,4,5
2132,5893,5,17
1803,8735,4,20
3041,7173,5,14
8188,9305,5,9
9694,2566,2,18
4021,4165,3,3
5425,9993,1,15
8093,2862,5,2
6007,2684,2,6
5049,1049,5,5
8343,5237,1,16
1744,2396,5,12
1174,2741,3,14
6257,1075,2,9
1742,7055,5,20
7831,683,3,9
2985,3649,3,3
3484,3639,3,12
4871,4728,2,18
3968,5117,5,20
6510,2118,1,2
1833,419,3,14
7347,8207,4,17
8345,9845,5,6
6029,5311,5,11
7655,6896,4,5
4158,4462,2,17
5646,9652,5,1
9828,4862,2,15
9712,1724,1,2
1849,9390,4,2
4358,5444,3,3
6453,1550,5,11
7319,185,1,3
1776,7703,3,10
1380,7511,1,6
7228,8889,4,12
9231,9301,2,6
9209,366,3,6
3547,8650,4,15
3593,9865,3,20
8655,3971,4,16
2240,4429,4,3
9666,2824,3,2
9659,2895,5,16
4987,4711,4,9
7714,9649,5,19
5860,1528,2,13
845,7510,5,20
6624,4138,3,12
927,1227,1,19
8340,3395,4,17
5504,6554,1,1
3270,5564,1,7
7059,9058,1,16
5762,3353,3,2
3587,1493,4,11
2175,5471,2,9
7321,8795,5,20
3197,4138,4,3
160,5396,4,15
5466,3489,4,11
7779,7876,5,6
6136,1333,2,4
3857,5111,2,17
1666,8199,2,18
6838,9077,1,2
6431,7857,2,4
669,2354,3,5
8964,9607,2,10
2527,470,5,7
6020,8935,5,5
3758,7541,4,16
2872,5197,5,6
3255,2229,1,18
1326,1921,2,14
9859,9338,1,7
2109,1704,5,18
470,2874,3,5
1663,3224,2,18
6812,6066,3,16
3298,3381,2,2
3018,8432,1,11
3479,8623,4,3
2252,5423,5,13
477,4064,5,14
9605,3246,1,4
4327,2623,3,12
7306,2587,1,19
8347,4646,2,19
9997,9253,5,8
2119,9029,4,10
4447,3836,2,19
2423,8869,1,8
59,9070,1,18
939,4907,4,4
9652,5619,3,2
2461,4614,4,2
7326,9365,1,2
8694,480,1,5
709,8081,3,13
2436,3908,3,4
3185,4293,2,1
9201,7628,3,19
4360,5773,2,8
4268,6493,5,15
8089,9757,2,11
4203,854,2,17
6144,1732,1,19
4225,9529,5,7
6898,4608,4,1
8706,6753,3,12
9874,8113,2,13
1803,2339,4,16
8092,740,4,3
3221,7538,3,1
3767,8196,5,17
6468,5222,4,16
1488,1831,5,19
6352,7904,3,8
9642,4079,5,12
5428,4968,5,6
1079,2052,5,6
7375,6412,3,3
4007,3897,5,18
2799,5796,3,6
2322,5271,2,7
9609,8485,5,12
6776,3261,4,10
7480,1022,1,7
3557,3697,4,20
5597,4279,1,17
6219,9320,2,20
6760,9337,4,20
2361,5600,2,20
2505,1262,2,6
8555,7577,4,10
9377,4122,1,10
2212,1410,3,3
6131,3293,5,9
639,1630,3,8
158,1021,4,1
8692,4942,1,11
903,7888,1,12
3060,7321,2,5
6315,7190,5,1
9779,8058,2,8
1716,5940,4,11
4320,4608,5,2
8399,7585,2,13
3723,3262,2,2
2798,6262,1,11
9570,8099,4,14
5269,1879,1,13
8834,4588,5,16
6100,7195,4,13
1355,3658,3,19
6884,3065,2,2
7955,7756,5,8
5283,3303,2,15
9657,610,4,6
4005,5868,4,7
3144,3752,2,19
9429,9330,2,10
5071,7514,5,20
1293,5751,5,6
7147,5553,1,3
6317,6483,3,7
2911,4929,5,20
6967,5310,5,16
3072,4994,3,18
48,3865,5,7
6630,1896,4,16
