7524,9987
8537,4063
7936,3909
1685,6107
7694,242
6994,8969
4372,4860
4083,7875
4835,7574
4292,576
7785,3443
3498,9566
8706,6888
4849,4302
9805,5559
9531,1242
8849,509
4320,8436
2588,775
8832,7765
6276,8200
8288,2685
3505,1263
1801,9392
3872,2987
4046,875
8511,4977
2567,6341
5874,548
3467,2790
7207,5912
2376,8977
2836,554
2733,1958
635,9367
5888,546
8992,5050
2633,6334
9987,6410
8008,9152
1802,671
8000,8400
3006,1025
8805,6803
8067,4788
7807,4403
2229,1684
1402,325
6666,3622
4015,3070
3166,8498
6197,39
7655,8469
2850,5278
7101,8371
8365,5471
559,3590
5155,6474
6403,6983
2679,7032
2706,64
1891,7119
9999,9313
8344,5526
8166,4095
9320,5391
7732,5659
6265,9328
7218,4770
6178,4068
8112,8426
5601,8604
9154,630
8128,2085
517,6629
8202,1686
1858,3210
3790,2837
6265,9497
1813,5187
7066,1400
6217,914
6527,2892
5869,8786
3587,8013
4548,5492
4109,7064
8706,4729
812,9054
9786,2211
8300,2706
4746,774
162,9540
4788,3654
1865,9122
8227,758
1419,9292
496,2217
6098,27
1346,2695
2698,7220
8148,9102
4055,9600
9773,6272
9155,4397
8617,3303
8240,7035
1708,3887
2833,228
1883,8660
1405,5778
8643,4759
5273,1777
914,8061
8064,5549
6873,3267
1561,3697
5329,1659
7065,5250
4561,8474
3735,2232
1167,6464
7978,7545
813,821
3669,930
3357,1060
5626,2371
3591,1819
7345,2673
262,7491
2761,6365
4027,6739
7763,1871
3504,7738
67,2501
4206,7031
3589,414
4064,7231
3325,9308
4821,6894
3251,7281
5032,6157
7676,5238
2704,7458
4578,9367
256,1131
3460,3331
8786,8697
9401,1610
8239,7292
2285,4773
4773,5758
9214,5973
9496,2519
6914,3810
860,872
780,3255
5330,9020
9302,3752
9628,7401
6839,6236
8076,5206
4070,7194
7219,1083
47,7776
2047,680
711,1466
623,1893
8028,5027
6936,6960
5758,2955
2450,9499
5565,4617
5793,8380
9656,4064
7083,460
8087,7956
2376,3728
6662,7946
1940,3126
6649,8244
955,4811
1740,5298
3486,8124
6984,3947
8743,2628
5714,2422
850,827
961,9148
6511,6518
492,7475
9643,8910
4073,3734
1091,2099
3490,1118
727,9899
3318,9923
9128,2430
1511,5518
8343,7508
9879,9834
1906,8128
5263,4695
5790,6095
5555,4446
2797,9353
3254,7319
6789,6023
7460,5093
7960,8049
1281,5592
3734,8996
1124,2432
5325,3483
7766,6658
5920,646
4133,7996
5854,3212
6908,1529
9807,4295
9409,3598
5291,2756
6860,5496
1657,5925
73,3912
1774,5398
4705,949
9915,6635
2867,5115
1256,2388
1693,2124
3620,120
9485,2339
8503,6430
